"filename", "language", "JavaScript", "PHP", "JSON", "CSS", "HTML", "Ini", "Log", "Markdown", "comment", "blank", "total"
"\\192.168.42.100\Web\eSDN\php_2\resend_otp.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 4, 11, 53
"\\192.168.42.100\Web\eSDN\php_2\save_process_time.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 12, 20, 80
"\\192.168.42.100\Web\eSDN\php_2\sdn_autho.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 7, 20, 82
"\\192.168.42.100\Web\eSDN\php_2\sdn_reg.php", "PHP", 0, 100, 0, 0, 0, 0, 0, 0, 11, 25, 136
"\\192.168.42.100\Web\eSDN\php_2\search_name_2.php", "PHP", 0, 106, 0, 0, 0, 0, 0, 0, 16, 32, 154
"\\192.168.42.100\Web\eSDN\php_2\session_navigation.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"\\192.168.42.100\Web\eSDN\php_2\session_timer.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"\\192.168.42.100\Web\eSDN\php_2\update_referral_status.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 2, 4, 20
"\\192.168.42.100\Web\eSDN\php_2\verify_otp.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 0, 3, 3, 29
"\\192.168.42.100\Web\eSDN\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"\\192.168.42.100\Web\eSDN\tailwind.config.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 7, 0, 39
"\\192.168.42.100\Web\eSDN\temp.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 2, 3, 10
"\\192.168.42.100\Web\eSDN\temp\alert.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 0, 0, 8, 32
"\\192.168.42.100\Web\eSDN\temp\alert.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 4, 8, 35
"Total", "-", 5340, 20862, 1786, 9287, 985, 29, 103, 372, 8595, 8359, 55718
